rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
034,22013,1886,7.90179,576.474,431,204.799,1,313,9515.28,177.187,65.6384,446.344,3789.32,1,440,3600,353
034,31853,2146,7.96763,832.219,676,175.515,1,319,9161.66,183.111,44.4554,578.446,5378.04,1,438,3600,431
034,32634,2054,8.02852,852.921,743,151.18,1,235,5787.75,175.403,54.3818,621.067,4368.83,1,456,3600,676
034,35234,2426,8.00402,923.145,756,235.392,1,357,12565.5,187.053,72.4829,664.604,6500.22,1,456,3600,743
034,40741,2537,8.01008,1066.27,802,324.738,1,549,44540.8,197.04,94.2119,457.485,4065.34,1,440,3600,756
035,11152,1633,7.95653,285.841,123,213.753,1,343,14342.8,180.475,66.4871,558.123,5332.18,1,436,3600,-1
035,18197,2002,7.96829,473.149,305,243.266,1,355,12557.8,202.135,81.5672,944.743,6686.81,1,446,3600,123
035,40369,2563,7.99049,1066.91,750,323.947,1,645,59222.3,209.825,84.3663,968.848,6567.46,1,463,3600,305
036,11161,2005,7.97753,299.887,65,316.44,1,485,29377.5,211.043,94.1111,521.971,3983.41,1,449,3600,-1
036,45893,2872,7.75674,1117.4,896,287.408,1,471,21082.4,479.94,170.305,1260.89,51737.7,1,416,3600,65
036,61558,3608,7.83267,1234.98,942,447.463,1,620,37007.5,710.361,378.712,1589.71,43776.6,1,425,3600,896
037,23032,2381,8.00615,595.754,371,322.843,1,470,21214,229.669,93.1391,834.419,6673.27,1,428,3600,-1
037,25927,2181,8.00404,668.483,444,276.14,1,466,31784.4,203.665,77.9301,693.624,6395.61,1,458,3600,371
037,29312,2096,8.03093,757.036,597,204.367,1,342,16705.8,178.284,62.6806,516.512,4848.72,1,450,3600,444
037,36364,2451,7.92098,941.589,727,288.327,1,442,28625.5,202.139,73.9393,842.261,7200.85,1,436,3600,597
