rep,Generation,phylogenetic_diversity,diversity,ave_depth,mrca_depth,mean_pairwise_distance,min_pairwise_distance,max_pairwise_distance,variance_pairwise_distance,mean_evolutionary_distinctiveness,min_evolutionary_distinctiveness,max_evolutionary_distinctiveness,variance_evolutionary_distinctiveness,num_roots,num_active_taxa,num_total_orgs
001,8700,783,5.72935,438.358,430,6.43706,1,19,7.68209,64.7835,0.763624,229,1155.73,1,309,3600,429
001,8739,767,6.0226,440.398,432,8.23067,1,18,12.9241,60.8203,0.77377,236,1251.29,1,306,3600,430
001,8783,787,5.76259,441.604,435,9.10499,1,21,15.6689,70.0048,1.29192,195.108,1609.6,1,295,3600,432
001,9132,835,5.51552,454.494,440,7.90939,1,34,30.0389,66.9146,1.61493,338.394,1633.58,1,318,3600,435
001,9163,830,5.60355,455.753,444,6.71944,1,25,13.8568,69.2393,1.23308,239.413,1514.37,1,317,3600,440
001,9204,848,5.41582,457.078,449,7.74188,1,20,14.4275,74.9347,0.805031,256,1379.49,1,322,3600,444
001,9339,870,6.11676,461.358,452,11.4385,1,28,41.2045,76.4853,1.74255,281.226,2239.8,1,328,3600,449
001,9489,842,5.60248,468.08,455,9.93595,1,31,38.0135,62.5577,1.81248,291.704,1509.25,1,309,3600,452
001,9531,837,5.90354,470.825,457,8.7882,1,29,20.4089,50.5987,1.3663,400,1343.91,1,317,3600,455
001,9630,796,4.84112,475.263,463,7.07773,1,21,10.2251,68.2075,1.20124,298,1574.93,1,256,3600,457
001,9634,830,4.93838,475.237,468,6.94715,1,24,10.5046,65.4479,0.768683,216,1364.96,1,287,3600,463
001,9677,828,5.20538,478.149,471,6.43284,1,20,11.2639,61.5499,0.685921,190,1075.57,1,297,3600,468
001,9731,822,5.75933,480.603,473,7.13935,1,15,8.26202,65.0255,0.701031,204,1227.68,1,294,3600,471
001,9745,825,5.6326,481.124,476,7.74492,1,17,9.94685,66.433,0,170,1250.71,1,293,3600,473
001,10011,792,5.2314,496.002,488,6.80424,1,18,11.1361,52.0513,0.654135,159.75,764.193,1,270,3600,476
001,10042,803,5.22416,497.345,489,6.29968,1,20,15.7258,60.3466,0,175,843.912,1,283,3600,488
001,10088,815,5.39957,499.961,491,8.18945,1,24,18.4574,57.1012,0.761369,172.089,1233.35,1,270,3600,489
001,10142,864,5.67156,503.317,495,8.34041,1,19,21.5959,55.749,0,199,1174.29,1,298,3600,491
001,10158,850,5.84667,503.974,496,7.03406,1,19,15.5126,57.3683,0.799498,194.472,968.117,1,301,3600,495
001,10248,845,5.52116,508.505,502,10.8282,1,21,19.2952,60.1696,1.6374,195,1045.94,1,283,3600,496
001,10363,882,5.60797,516.448,508,7.03742,1,15,6.39578,65.0669,0.583072,186,1104.81,1,320,3600,502
001,10378,887,5.78858,517.096,513,7.85271,1,17,8.9975,68.9385,0,152,1435.35,1,315,3600,508
001,10524,877,5.45191,525.313,519,7.62391,1,18,10.7409,64.6548,0.647923,176.024,1258.57,1,298,3600,513
001,10547,860,5.29083,526.615,520,7.79475,1,17,16.6166,61.6888,1.02376,199,1152.51,1,297,3600,519
001,10582,883,5.76415,528.202,521,7.14672,1,19,15.1852,64.3255,0.801062,214,1268.03,1,309,3600,520
001,10661,913,5.98862,531.572,526,8.83941,1,18,8.82531,60.6037,0.817073,178.093,1101.58,1,318,3600,521
001,10741,890,5.51228,535.612,527,7.50378,1,23,17.9754,61.682,1.07797,168.025,1117.73,1,296,3600,526
001,10813,914,5.50439,539.974,529,8.6667,1,27,15.401,54.1854,0.826625,185.254,867.539,1,328,3600,527
001,10827,879,5.11455,540.397,534,8.2993,1,18,14.0747,59.7653,0,199,1013.77,1,299,3600,529
001,10894,897,5.93042,543.166,536,6.11028,1,20,10.4711,62.8449,0.682042,161.125,1182.02,1,308,3600,534
001,10947,890,5.6601,545.282,538,8.18053,1,16,8.38724,57.9904,0.740484,214,1349.98,1,290,3600,536
001,10955,903,5.75657,545.338,541,8.36224,1,16,9.38812,58.2236,0,183,1328.02,1,306,3600,538
001,11196,917,5.57403,558.47,545,7.21112,1,27,11.6563,59.2731,1.0101,206.346,896.264,1,315,3600,541
001,11203,913,5.38874,559.051,550,7.34644,1,14,8.26943,61.7903,0.675638,213,937.882,1,317,3600,545
001,11225,903,4.84609,559.548,552,7.75627,1,17,13.1912,70.2894,1.11782,151.1,1054.72,1,291,3600,550
001,11267,934,6.11935,561.857,555,10.6037,1,20,21.9095,58.8623,1.17568,183.119,1385.82,1,324,3600,552
001,11426,918,5.84989,568.812,560,6.38339,1,19,5.55983,67.692,1.6211,229.667,1340.77,1,305,3600,555
001,11453,930,4.97513,570.583,566,7.86969,1,15,9.15076,63.3155,1.50269,169,1173.26,1,310,3600,560
001,11707,897,4.80346,584.29,574,6.29278,1,23,19.8763,60.5351,0.980761,223.057,955.279,1,278,3600,566
001,11749,948,5.35152,585.273,579,5.60047,1,17,6.74259,62.0799,0.643845,178,994.965,1,308,3600,574
001,11842,940,5.74212,590.686,584,9.80225,1,19,24.1919,62.6133,1.23457,200,1161.64,1,316,3600,579
001,12333,1001,5.87151,610.121,604,7.89034,1,17,10.0789,64.5747,0.74,154.136,1176.72,1,333,3600,584
001,12390,985,5.56744,613.759,605,9.43697,1,21,21.9392,57.3217,1.36933,211.96,1494.69,1,312,3600,604
001,12450,983,6.1772,616.268,608,6.4741,1,20,8.67743,55.8132,0.898241,255,1284.54,1,317,3600,605
001,12501,961,5.70802,618.078,613,7.73931,1,14,6.9468,65.1443,2.04832,168.024,1199.06,1,300,3600,608
001,12536,975,5.49361,619.182,614,9.06602,1,16,12.7491,65.949,1.59843,203,1308.07,1,307,3600,613
001,13045,999,5.63178,644.788,635,9.32109,1,24,23.8538,57.6364,1.06872,252,1462.99,1,296,3600,614
001,13047,1008,5.55621,644.603,636,9.1003,1,24,22.3509,58.0835,0.903261,222,1461.59,1,307,3600,635
001,13049,1004,5.60177,644.862,637,9.0249,1,23,23.0791,58.9775,0.893496,178.155,1486.9,1,304,3600,636
001,13126,1001,5.49482,648.69,641,11.2045,1,22,34.0518,59.4778,1.10993,201,919.831,1,296,3600,637
001,13315,976,5.39282,657.005,649,7.4351,1,19,9.90968,68.4631,0.90028,172.191,1532.43,1,277,3600,641
001,13337,1000,5.45294,657.382,650,8.27508,1,19,11.3784,70.0084,1.28332,196.5,1778.51,1,292,3600,649
001,13404,1006,5.83511,660.929,653,12.0134,1,23,29.5133,62.1181,2.18765,239.5,1501.39,1,303,3600,650
001,13584,1035,5.19182,670.747,662,7.71836,1,19,12.3705,71.0225,0.767322,200,1383.35,1,301,3600,653
001,13598,1042,5.6419,671.973,665,8.37369,1,20,13.5501,68.7073,0.690299,158.101,1391.96,1,301,3600,662
001,13688,1013,5.83307,677.183,668,8.51874,1,18,14.3374,55.7789,1.30105,233.429,1078.49,1,298,3600,665
001,13714,1060,6.0236,678.23,671,9.26324,1,21,16.4285,55.2982,0.987914,149.153,1095.99,1,331,3600,668
001,13761,1023,5.1771,680.745,673,9.28581,1,20,22.2007,60.2516,0.96652,214,1002.38,1,282,3600,671
001,13888,1051,5.60296,688.887,677,8.18852,1,24,13.8855,57.9151,0.86185,250,1343.02,1,308,3600,673
001,13891,1038,5.45126,689.251,678,8.16248,1,22,14.0438,54.1082,0.841246,184.927,1161.23,1,303,3600,677
001,13937,1019,5.17197,692.567,680,6.40055,1,23,10.3244,59.1312,0.911445,250,945.563,1,282,3600,678
001,13943,1037,5.40557,692.881,684,6.46024,1,23,9.73847,56.5421,0.651445,192,861.647,1,301,3600,680
001,13973,1047,5.97754,694.259,689,8.4069,1,19,14.5031,54.3286,0.665049,132.045,917.692,1,318,3600,684
001,14098,1027,5.4775,703.107,692,5.77878,1,21,12.7058,55.0269,0.822695,232,883.707,1,286,3600,689
001,14168,1052,5.96378,705.741,701,7.48726,1,16,6.28154,58.873,0.579336,157,1170.56,1,293,3600,692
001,14315,1053,5.39326,714.166,702,8.87916,1,25,22.8126,59.9075,1.30945,236,1515.46,1,291,3600,701
001,14321,1021,5.62624,714.527,704,8.99368,1,25,21.8779,58.6653,1.30516,209.195,1318.71,1,268,3600,702
001,14346,1065,5.18031,715.824,706,9.36926,1,22,25.9972,58.8962,1.20917,234,1111.72,1,308,3600,704
001,14367,1059,5.40094,716.741,708,8.97264,1,24,32.8483,56.4178,0.976596,216,1073.6,1,299,3600,706
001,14399,1050,5.4114,718.756,709,7.01823,1,24,29.8908,65.1019,0.90302,208.733,964.602,1,286,3600,708
001,14474,1086,6.28814,723.289,717,6.44498,1,17,7.49335,56.5759,0.597257,167,1030.52,1,325,3600,709
001,14544,1074,6.02661,727.242,719,7.33947,1,19,7.53182,58.9517,0.712675,214,1240.94,1,305,3600,717
001,14562,1095,5.65106,728.342,720,8.1002,1,20,8.70028,60.6437,0.779704,217,1079.95,1,319,3600,719
001,14573,1077,5.63993,728.963,722,8.02984,1,15,8.46921,64.5155,0.876122,157.5,987.174,1,295,3600,720
001,14630,1102,5.31212,732.071,723,10.0605,1,20,18.9733,61.08,1.32549,204.037,960.404,1,325,3600,722
001,14670,1115,5.85024,733.694,724,11.4304,1,23,28.5885,65.0378,1.4174,169.893,1302.49,1,318,3600,723
001,14750,1065,5.19901,737.976,727,8.40656,1,28,40.5618,67.5278,1.2679,260,1385.01,1,284,3600,724
001,14857,1089,5.7871,743.015,736,7.55845,1,18,8.58263,57.1268,0.892074,222,1166.81,1,294,3600,727
001,14869,1121,5.8385,743.911,738,8.52091,1,18,10.7287,55.2859,0.698473,183,1042,1,325,3600,736
001,14969,1128,5.96968,748.824,740,6.89218,1,18,8.42322,63.1191,0.784543,250,1501.54,1,328,3600,738
001,14997,1097,5.4586,750.531,741,6.69135,1,20,9.21499,59.7731,1.01378,257,1548.25,1,294,3600,740
001,15004,1092,5.48469,751.257,745,6.76052,1,17,7.88737,53.6336,0.688462,168.282,1107.52,1,303,3600,741
001,15089,1071,5.44794,755.522,749,9.47727,1,20,17.3884,60.0954,1.15135,165.25,949.594,1,277,3600,745
001,15343,1146,5.67557,767.173,757,10.7126,1,25,18.3604,63.098,1.93881,235.4,1472.65,1,311,3600,749
001,15401,1093,5.64698,770.545,761,7.477,1,23,24.9378,63.1323,1.04216,193.25,1495.03,1,278,3600,757
001,15461,1114,5.42367,774.106,769,7.56885,1,15,9.07676,53.3797,0,163,783.925,1,299,3600,761
001,15554,1136,5.98371,777.356,772,8.46401,1,17,12.4052,63.709,0.883665,180.333,1571.18,1,301,3600,769
001,15820,1133,5.81137,787.579,777,13.5499,1,28,49.6256,70.3641,4.00004,251.313,1880.47,1,286,3600,772
001,15943,1134,5.15109,794.579,782,8.20912,1,27,16.6491,56.9079,1.66916,259,1360.09,1,291,3600,777
001,16029,1127,5.69592,799.663,789,9.56237,1,24,34.6796,55.8947,1.06015,249,1145.91,1,290,3600,782
001,16071,1158,5.76917,802.026,790,7.13257,1,28,20.6628,57.9154,0.841584,179.587,1198.61,1,316,3600,789
001,16132,1168,5.34381,804.25,798,6.91752,1,16,8.92176,65.2641,0.749702,164.069,992.39,1,296,3600,790
001,16208,1147,5.50562,808.213,800,7.95162,1,22,20.5071,65.9154,0.89431,227.048,1333.98,1,295,3600,798
001,16299,1154,5.40756,812.622,801,7.79406,1,21,15.377,65.743,1.17137,318,1659.56,1,287,3600,800
001,16317,1176,5.5378,813.913,804,7.29786,1,23,15.6403,65.5478,0.868218,261,1460.81,1,313,3600,801
001,16352,1153,5.70704,815.726,808,6.93352,1,18,7.80242,60.9413,0.800101,227,1472.26,1,298,3600,804
001,16408,1181,5.89709,817.487,809,7.28391,1,16,8.31456,66.8412,1.00308,242,1233.25,1,309,3600,808
001,16414,1192,5.92041,817.857,812,7.60199,1,17,8.32137,62.9728,0.801259,181.455,1339.85,1,321,3600,809
001,16484,1152,5.49675,821.941,814,8.46292,1,21,17.3908,52.8155,1.01944,223.028,976.088,1,303,3600,812
001,16536,1135,5.0742,824.808,816,5.90075,1,19,7.12667,58.548,0.869258,226.667,1145.29,1,286,3600,814
001,16561,1155,5.10763,825.801,819,5.41287,1,15,4.78609,72.4553,0.707105,199,1100.34,1,297,3600,816
001,16639,1197,5.94621,828.418,823,8.38316,1,19,12.3759,63.9735,0.85022,193,1713.32,1,328,3600,819
001,16734,1180,5.89373,833.132,826,9.67848,1,22,17.2305,59.8173,1.0192,224.11,1083.67,1,300,3600,823
001,16828,1201,5.67592,839.617,829,10.5025,1,25,44.748,62.1551,1.05368,222.375,1151.46,1,314,3600,826
